ID,Categoria,Pergunta,Resposta Gerada pelo Agente,ASR (ms),LLM/TTFS (ms),TTS/TTFB (ms),RAG (ms),Latência Total (ms),Nota LLM-as-aJudge,Observações
1,Desambiguação,Como eu ligo o ar-condicionado do Kwid?,"Para ligar o ar-condicionado do Kwid, primeiro preciso saber se você está falando do Kwid a combustão ou do Kwid E-Tech elétrico. Pode me confirmar qual é o modelo do seu carro?",82,700,359,241,1382,,"FALHA: Bypass na desambiguação devido a erro fonético do ASR ('Quidi' em vez de 'Kwid'). O LLM não reconheceu o gatilho da Regra 4, o RAG recuperou o contexto genérico e o agente gerou a resposta direta. Houve também violação da Regra de Concisão (texto com 5 frases), o que inflou a latência do LLM para 2.3s. AÇÃO: Prompt atualizado para a Versão 2 (V2) com inclusão de tolerância a variações fonéticas. Teste refeito com sucesso."
2,Desambiguação,Onde fica a alavanca para abrir o porta-malas?,"A alavanca para abrir o porta‑malas fica dentro do veículo, na parte esquerda do painel de instrumentos, próximo ao volante. Basta puxá‑la para cima e a tampa do porta‑malas será liberada.",186,596,400,299,1481,,
3,Desambiguação,Qual é a pressão ideal dos pneus para o meu carro?,"A pressão ideal dos pneus do seu Kwid E-Tech está indicada na etiqueta colada no canto da porta do motorista. Essa etiqueta mostra os valores recomendados para diferentes situações, como com duas pessoas a bordo ou mais de duas pessoas. É importante verificar a pressão com os pneus frios, ou seja, antes de dirigir ou depois de o carro estar parado por algumas horas. Se precisar, posso te ajudar a interpretar a etiqueta, basta me dizer qual é o número que aparece ali.",146,421,353,346,1266,,
4,Desambiguação,Onde fica o macaco para trocar o pneu?,"O macaco fica guardado no conjunto de ferramentas A, que está localizado sob o assento do motorista. Para acessá‑lo, abra a tampa do compartimento abaixo do banco, retire o macaco e, se precisar, desaperte a porca de fixação antes de usá‑lo para levantar o veículo.",25,613,392,597,1627,,
5,Desambiguação,Como eu ajusto o relógio no painel?,"Para acertar o relógio, pare o carro e mantenha a ignição ligada. Primeiro, pressione o botão que abre a tela de “Hora” no painel Depois, segure esse botão um pouco mais para entrar no modo de ajuste das horas; quando os números piscar, gire o controle até chegar à hora correta e confirme pressionando “OK”. Em seguida, repita o procedimento segurando o mesmo botão para mudar para os minutos, ajuste até o valor certo e confirme novamente com “OK”.",30,592,418,420,1460,,
6,Desambiguação,Como travo as portas por dentro?,"Para travar as portas por dentro, primeiro pare o veículo e mantenha a ignição ligada. Primeiro, pressione o interruptor de travamento central que fica no painel à esquerda da alavanca de mudança de marchas. Depois, segure o botão por alguns segundos até ouvir o sinal sonoro; a luz indicadora no mesmo interruptor acenderá, confirmando que todas as portas estão travadas. Por fim, verifique o ícone de cadeado no painel para garantir que o travamento foi efetivado.",259,574,301,646,1780,,
7,Desambiguação,Onde fica o reservatório de água do limpador de para-brisa?,"O reservatório do líquido do limpador fica no compartimento do motor, próximo ao para‑brisa. Abra o capô, localize a tampa 2 com o símbolo de um limpador; ao girá‑la você tem acesso ao reservatório onde o líquido deve ser completado.",109,654,475,462,1700,,
8,Desambiguação,Como abro o capô do veículo?,"Para abrir o capô, puxe a alavanca 1 que fica no lado esquerdo do painel de bordo. Depois, levante suavemente o capô e empurre a lingueta 2 para a esquerda, liberando o trinco. Por fim, levante o capô até que o apoio 3 o segure na posição aberta.",90,683,323,517,1613,,
9,Desambiguação,Como faço para rebater os bancos traseiros?,"Para rebater os bancos traseiros, primeiro pare o carro e deixe a ignição desligada. Primeiro, verifique se os bancos dianteiros estão bem avançados, depois abaixe totalmente os apoios de cabeça. Em seguida, segure as alças B e C dos encostos, junte‑as para destravar o trinco e puxe o encosto para baixo até a posição horizontal. Por fim, confirme que os travamentos estão firmes antes de usar o espaço de carga.",101,598,320,585,1604,,
10,Desambiguação,Onde fica o triângulo de segurança?,"O triângulo de segurança fica no porta‑malas. Para usá‑lo, ligue o pisca‑alerta e coloque o triângulo a cerca de cinquenta metros antes do veículo.",77,626,386,477,1566,,
